Input.extroversion_video1,Input.extroversion_video2,Input.neuroticism_video1,Input.neuroticism_video2,Input.agreeableness_video1,Input.agreeableness_video2,Input.conscientiousness_video1,Input.conscientiousness_video2,Input.openness_video1,Input.openness_video2,WorkerId,Answer.hO.left,Answer.hO.right,Answer.hC.left,Answer.hC.right,Answer.hE.left,Answer.hE.right,Answer.hA.left,Answer.hO.right,Answer.hO.left,Answer.hA.right,Answer.hN.left,Answer.hN.right,Answer.hTLeft.left,Answer.hTRight.right
https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/154ece9b23_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d36034bdbf_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b15da5f794_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/eb87c332e2_28.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f5853adc98_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_52.mp4,ASWZO1WY1UHEP,True,False,True,False,True,False,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/154ece9b23_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d36034bdbf_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b15da5f794_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/eb87c332e2_28.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f5853adc98_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_52.mp4,A2J237J8KM3OCS,True,False,False,True,False,True,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/154ece9b23_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d36034bdbf_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b15da5f794_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/eb87c332e2_28.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f5853adc98_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_52.mp4,A26MRON9XGPVB5,True,False,True,False,True,False,False,False,True,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_97.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_49.mp4,https://www.cs.umb.edu/~srikark/selected_videos/8d0ee9e27f_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_65.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_79.mp4,A26V8QMPU25JGC,False,True,True,False,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_97.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_49.mp4,https://www.cs.umb.edu/~srikark/selected_videos/8d0ee9e27f_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_65.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_79.mp4,A3TUMZ954ORSUC,False,True,False,True,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_97.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_49.mp4,https://www.cs.umb.edu/~srikark/selected_videos/8d0ee9e27f_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_65.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_79.mp4,A2J237J8KM3OCS,True,False,False,True,True,False,False,False,True,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_97.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_49.mp4,https://www.cs.umb.edu/~srikark/selected_videos/8d0ee9e27f_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_65.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_79.mp4,ASWZO1WY1UHEP,False,True,True,False,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f1f80e5aa0_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e8477b04ec_61.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e360674f8b_38.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_72.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9948bda475_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_27.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_50.mp4,A3TUMZ954ORSUC,False,True,False,True,False,True,True,True,False,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f1f80e5aa0_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e8477b04ec_61.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e360674f8b_38.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_72.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9948bda475_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_27.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_50.mp4,ASWZO1WY1UHEP,True,False,False,True,False,True,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f1f80e5aa0_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e8477b04ec_61.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e360674f8b_38.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4c08eeaf99_72.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9948bda475_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_27.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_50.mp4,A2J237J8KM3OCS,True,False,True,False,False,True,False,False,True,True,True,False,True,True
