Input.extroversion_video1,Input.extroversion_video2,Input.neuroticism_video1,Input.neuroticism_video2,Input.agreeableness_video1,Input.agreeableness_video2,Input.conscientiousness_video1,Input.conscientiousness_video2,Input.openness_video1,Input.openness_video2,WorkerId,Answer.hO.left,Answer.hO.right,Answer.hC.left,Answer.hC.right,Answer.hE.left,Answer.hE.right,Answer.hA.left,Answer.hO.right.1,Answer.hO.left.1,Answer.hA.right,Answer.hN.left,Answer.hN.right,Answer.hTLeft.left,Answer.hTRight.right
https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_10.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_81.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_75.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_41.mp4,https://www.cs.umb.edu/~srikark/selected_videos/21a3ee3f47_15.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4cb2b138db_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,A1IU5OP7BBZHZ7,True,False,False,True,True,False,True,False,True,False,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_10.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_81.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_75.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_41.mp4,https://www.cs.umb.edu/~srikark/selected_videos/21a3ee3f47_15.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4cb2b138db_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,A3CAF7LTD3ORSG,True,False,False,True,True,False,False,False,True,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_10.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_81.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_75.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_41.mp4,https://www.cs.umb.edu/~srikark/selected_videos/21a3ee3f47_15.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4cb2b138db_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,A22KRF782ELLB0,True,False,False,True,True,False,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_10.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_81.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_75.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_41.mp4,https://www.cs.umb.edu/~srikark/selected_videos/21a3ee3f47_15.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4cb2b138db_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a368dff45_26.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_7.mp4,A5LYLHG880ABE,False,True,False,True,False,True,False,True,False,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/84125c414e_14.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1ffcdc3b90_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4d1a00e372_67.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_30.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9471a6fc08_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/04ce952d75_53.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_48.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_30.mp4,A1IU5OP7BBZHZ7,True,False,True,False,True,False,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/84125c414e_14.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1ffcdc3b90_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4d1a00e372_67.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_30.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9471a6fc08_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/04ce952d75_53.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_48.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_30.mp4,ASWZO1WY1UHEP,False,True,True,False,False,True,True,True,False,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/84125c414e_14.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1ffcdc3b90_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4d1a00e372_67.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_30.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9471a6fc08_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/04ce952d75_53.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_48.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_30.mp4,A22KRF782ELLB0,True,False,True,False,True,False,False,False,True,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/84125c414e_14.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1ffcdc3b90_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4d1a00e372_67.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_30.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9471a6fc08_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/04ce952d75_53.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_48.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_30.mp4,A3CAF7LTD3ORSG,True,False,True,False,True,False,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/84125c414e_14.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1ffcdc3b90_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4d1a00e372_67.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_30.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9471a6fc08_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/04ce952d75_53.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_48.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_30.mp4,A29ZTHY1OB4IC8,True,False,True,False,False,True,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_81.mp4,https://www.cs.umb.edu/~srikark/selected_videos/8672769492_40.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_40.mp4,https://www.cs.umb.edu/~srikark/selected_videos/400f09a2d4_10.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_60.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7c64f6cfe4_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1e93810269_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_27.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_47.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_63.mp4,A1IU5OP7BBZHZ7,False,True,False,True,False,True,True,True,False,False,True,False,True,True
